id,question
67cfd4b9ba04c04a487ec39f,What are the precautions after the spinal canal explor nec procedure?
a3c1f40e880ba9d30165da29,Do you know what type of blood patient 98517 has?
f2147dbedaab703750fcd937,Do you believe patient 97395 has received any additional fluid received in blood culture bottles test?
3ae2168575144fa7bff0773b,Is patient 4758 subject to the test covid-19?
28fb3dd077aebb1daf3e9fe4,Where can i find a reimbursement standard for cerebrovascular mri?
21fe976dd2fd2be6db9c01b6,When are dr. davis's rounds and procedures?
0ba53e15e28cc6c41c12f29b,When and where are the rounds and procedures of dr. canpos?
c919552da540025ef269dfef,Tell me all of the prescriptions patient 2518 was given in the other department
2ca1d1be2d4d07ebcd6b3235,Is patient 3403 subject to a covid-19 test?
9556f5bb39ef85f316ec69f4,I would like to know what dr. dunlow's on today's outpatient schedule.
4278528d67400edefc633789,How often was the last time patient 20801 had a medication that should be regularly taken?
8b05dac24440c0e125c2982d,What was the duration of serum transfusion nec for patient 29540?
8b39463fdf4a8b3980e64af0,What is the ward identification of patient 7375 able to be admitted to?
02b3b650c8a76d49c5223798,Is patient 3277 subject to covid-19 testing?
bde07b33be302a136b2699b4,When should patient 74392 visit the hospital next?
c1d67292940ffad4ade361e9,Whats the reimbursement standard for a cerebrovascular mri?
8cdcafd00523784d37d8dad5,Which immuno-cancer drugs have been used for the last five years?
1f6fb1acb94a920e308918de,Can you point to a genetic test that patient 28447 received?
7ea687da89af68315ce96f56,Does patient 19175 have a family history of colostomy status?
9d188dcdbafa3802c326bff0,Do you know the ward id of patient 31854 to which they are admitted?
549e20a8edaac5f7b05ecb41,Did patient 68280 experience side effects during a blood transfusion?
3b684d2b82753b3d95f1dbc9,Tell me the blood type of patient 76327?
6fb7db09905b3e0b6571bb41,When and where are the rounds and procedures of dr. moore?
9e4d892692bac7261d1c86af,"What is the code which is assigned to icd-11, to referring to legal blindness-usa def that occurs in icd-10?"
d4838da30561bc40110b929d,Do you think patient 1912 has dmii circ nt st uncntrld in his or her family?
f617b7296ab248a05c6041c0,What precautions should i take after a closed uterine biopsy procedure?
0de02f3946d72e99a86d60ea,Is there any gene testing that patient 14397 had?
9bcc50dfeada714797755ff0,What is the checklist you need to follow in advance of your egd with closed biopsy procedure?
d668c80dc28d9c4f1a984524,Does patient 73693 have any travel history abroad?
a301cbb555555b4a30c9dfbe,What is a checklist before lumb/lmbosac fus ant/ant?
c85dcc855c873d1ffc99f027,What is today's outpatient schedule for dr. cannon?
acef00fb099d89d41958c435,Does patient 49176 have experience travelling abroad?
cc5fbcfde89a0973970e7397,What was the total length of excise diaphragm lesion procedure for patient 594?
b91fff10d613c5660031b070,Tell me the dose of an opioid prescribed to patient 13897?
1a33ef0177e3bdc49dafbced,How many operating rooms are in operation now?
ec4b556e4ac98f7c6485240b,Tell me the icd-11 code for candidias urogenital nec in icd-10?
3611ae2dcaeae9a7d87cdf93,What is the ward id where patient 5828 can be admitted?
0e206bae559f3646f2535376,Let me know what i'll need to prepare for the delayed clos abd wound procedure
b81ed5d5887f1e702281cc7c,What kind of medicine does patient 50480 take when they get a prescription from another hospital?
f8961f88221514dc6b646933,"Hey jo, tell me what that diagnosis was that patient 20801 got in that other department"
781a848c0f1a072d4667722d,Is patient 21074 subject to tests involving covid-19?
0142fefc91ec6884f43de80b,What is the code in icd-10 that corresponds to icd-11 for voice/resonance dis nec?
5fa52b07870c541ddad80fd4,What is the dose of the opioid prescribed for patient 19059?
63963fa9f83cbade78c334a0,Can you count how many operating rooms there is now
981338dedcce7e27679a41c7,When was the last time that patient 59941 had a medication that should be taken daily?
cd733e64db1b7801954ac9ac,Where are the single rooms out there now?
db0532f93811b5c3527eb224,During a blood transfusion has patient 18866 ever experienced any side effects?
fc3894dd76e5cc3a753eedfb,What is the reimbursement standard for genetic and chromosomal testing?
956020fbb55b1050204ceebd,What's the name of the med that shouldn't be given during exc/dest hrt lesion open.
21e50a8f4be7dfdd1d9fb392,Did patient 66015 ever have any side effects during a blood transfusion?
82eed12efc2bbbf2dd01b1c2,Tell me what to prepare before the peripheral nerve graft procedure :
34bcde5942f36df939445209,How are the precautions after the creat esophagastr sphinc procedure?
bbaf6db3927ca6221096a678,When are dr. smith's rounds and procedures?
14dc70100f62f8b317f16a1c,I want to know the ward id that patient 65962 can go in and get in?
ebde9f1b9d393f71e485fb70,Is patient 18677 having a history of suppurat peritonitis nec in his/her family?
2a09cc17e6b8947dbc425e98,How do i take precaution after the rt/left heart card cath procedure?
d091004cb9fc04cd233d1142,Does patient 25951 have a documented record of legal blindness-usa def in his / her family?
